Position,Team,Points
1,Germany,1558.00
2,Brazil,1431.00
3,Belgium,1298.00
4,Portugal,1274.00
5,Argentina,1241.00
6,Switzerland,1199.00
7,France,1198.00
8,Poland,1183.00
9,Chile,1135.00
10,Spain,1126.00
11,Peru,1125.00
12,Denmark,1051.00
13,England,1051.00
14,Uruguay,1018.00
15,Mexico,989.00
16,Colombia,986.00
17,Netherlands,981.00
18,Wales,953.00
19,Italy,951.00
20,Croatia,945.00
21,Tunisia,910.00
22,Iceland,908.00
23,Costa Rica,884.00
24,Sweden,880.00
25,United States,873.00
26,Austria,845.00
27,Senegal,838.00
28,Slovakia,804.00
29,Northern Ireland,803.00
30,Romania,782.00
31,Republic of Ireland,777.00
32,Paraguay,773.00
33,Venezuela,755.00
34,Serbia,751.00
35,Ukraine,733.00
36,Australia,718.00
37,Iran,708.00
38,Turkey,706.00
39,Congo DR,706.00
40,Bosnia-Herzegovina,693.00
41,Morocco,686.00
42,Scotland,660.00
43,Montenegro,652.00
44,Greece,650.00
45,Egypt,649.00
46,Czech Republic,641.00
47,Ghana,624.00
48,Nigeria,618.00
49,Bulgaria,614.00
50,Cameroon,614.00
51,Hungary,612.00
52,Burkina Faso,604.00
53,Norway,596.00
54,Jamaica,588.00
55,Panama,571.00
56,Slovenia,558.00
57,Korea Republic,544.00
58,Albania,538.00
59,Bolivia,536.00
60,Ecuador,524.00
61,Japan,521.00
62,Honduras,503.00
63,Finland,486.00
64,Mali,484.00
65,Cape Verde Islands,478.00
66,Algeria,474.00
67,Saudi Arabia,465.00
68,Côte d'Ivoire,463.00
69,Guinea,463.00
70,Russia,457.00
71,FYR Macedonia,451.00
72,El Salvador,442.00
73,Syria,440.00
74,South Africa,428.00
75,China PR,423.00
76,Zambia,420.00
77,UAE,418.00
78,Belarus,417.00
79,Lebanon,411.00
80,Canada,411.00
81,Curaçao,408.00
82,Uganda,403.00
83,Congo,393.00
84,Oman,391.00
85,Gabon,390.00
86,Luxembourg,390.00
87,Cyprus,384.00
88,Benin,379.00
89,Iraq,377.00
90,Faroe Islands,376.00
91,Trinidad and Tobago,370.00
92,Kyrgyzstan,363.00
93,Israel,362.00
94,Estonia,359.00
95,Uzbekistan,354.00
96,Georgia,352.00
97,India,350.00
98,Qatar,348.00
99,Palestine,347.00
100,Armenia,338.00
101,Libya,336.00
102,Vietnam,334.00
103,Niger,323.00
104,Haiti,322.00
105,Azerbaijan,321.00
106,Madagascar,308.00
107,Mauritania,304.00
108,Korea DPR,303.00
109,Central African Republic,303.00
110,Jordan,296.00
111,Sierra Leone,292.00
112,Kenya,291.00
113,Bahrain,289.00
114,Mozambique,282.00
115,Philippines,280.00
116,Namibia,277.00
117,Kazakhstan,273.00
118,Zimbabwe,265.00
119,Tajikistan,264.00
120,New Zealand,256.00
121,Guinea-Bissau,255.00
122,Thailand,248.00
123,Malawi,247.00
124,Chinese Taipei,247.00
125,Togo,241.00
126,Lithuania,239.00
127,Antigua and Barbuda,239.00
128,Sudan,232.00
129,Latvia,230.00
130,Turkmenistan,229.00
131,Andorra,229.00
132,Nicaragua,228.00
133,Yemen,227.00
134,Swaziland,222.00
135,St. Kitts and Nevis,218.00
136,Rwanda,216.00
137,Angola,209.00
138,Myanmar,206.00
139,Botswana,205.00
140,Tanzania,200.00
141,Kosovo,197.00
142,Hong Kong,195.00
143,Equatorial Guinea,190.00
144,Solomon Islands,190.00
145,Afghanistan,188.00
146,Guatemala,180.00
147,Lesotho,175.00
148,Burundi,174.00
149,Comoros,172.00
150,Maldives,171.00
151,Ethiopia,166.00
152,Dominican Republic,162.00
153,Suriname,154.00
154,New Caledonia,150.00
155,Mauritius,140.00
156,South Sudan,132.00
157,Tahiti,130.00
158,Liberia,129.00
159,Kuwait,128.00
160,Barbados,127.00
161,Nepal,118.00
162,Vanuatu,117.00
163,Belize,115.00
164,Indonesia,111.00
165,Fiji,104.00
166,Cambodia,103.00
167,Papua New Guinea,103.00
168,Grenada,102.00
169,Singapore,99.00
170,St. Lucia,95.00
171,Malaysia,93.00
172,Gambia,92.00
173,St. Vincent / Grenadines,89.00
174,Puerto Rico,89.00
175,Chad,88.00
176,Moldova,88.00
177,Dominica,86.00
178,Bermuda,82.00
179,Laos,82.00
180,Liechtenstein,80.00
181,Cuba,75.00
182,Guyana,73.00
183,Bhutan,68.00
184,Malta,65.00
185,Macao,60.00
186,Mongolia,51.00
187,São Tomé e Príncipe,51.00
188,Seychelles,48.00
189,Aruba,48.00
190,Guam,45.00
191,Timor-Leste,45.00
192,American Samoa,38.00
193,Cook Islands,38.00
194,Bangladesh,35.00
195,Gibraltar,34.00
196,Brunei,34.00
197,Djibouti,32.00
198,Samoa,32.00
199,US Virgin Islands,18.00
200,Sri Lanka,17.00
201,Pakistan,10.00
202,Cayman Islands,8.00
203,San Marino,8.00
204,British Virgin Islands,4.00
205,Montserrat,4.00
206,Turks and Caicos Islands,0.00
207,Anguilla,0.00
208,Bahamas,0.00
209,Eritrea,0.00
210,Somalia,0.00
211,Tonga,0.00
